iter	Passed	Remaining
170	1978	9590
171	1991	9586
172	2001	9569
173	2012	9553
174	2023	9537
175	2033	9520
176	2044	9505
177	2054	9489
178	2065	9473
179	2075	9456
180	2086	9441
181	2097	9425
182	2107	9409
183	2118	9394
184	2128	9378
185	2140	9366
186	2150	9351
187	2161	9335
188	2171	9319
189	2182	9304
190	2192	9287
191	2203	9271
192	2213	9255
193	2223	9239
194	2234	9225
195	2245	9211
196	2256	9197
197	2267	9182
198	2277	9167
199	2287	9151
200	2298	9136
201	2309	9121
202	2319	9107
203	2330	9092
204	2340	9076
205	2351	9062
206	2361	9047
207	2372	9032
208	2383	9022
209	2394	9009
210	2406	8996
211	2416	8982
212	2427	8967
213	2439	8960
214	2450	8945
215	2460	8932
216	2471	8917
217	2481	8902
218	2493	8891
219	2504	8877
220	2514	8863
221	2526	8855
222	2537	8841
223	2548	8827
224	2558	8812
225	2569	8799
226	2580	8786
227	2590	8772
228	2601	8758
229	2611	8744
230	2622	8730
231	2633	8716
232	2643	8703
233	2654	8689
234	2664	8675
235	2675	8661
236	2686	8647
237	2696	8633
238	2707	8619
239	2717	8605
240	2728	8591
241	2738	8578
242	2749	8566
243	2760	8551
244	2771	8539
245	2783	8531
246	2794	8519
247	2807	8511
248	2819	8502
249	2830	8490
250	2841	8478
251	2852	8465
252	2862	8453
253	2873	8439
254	2884	8426
255	2895	8413
256	2905	8400
257	2916	8386
258	2927	8374
259	2937	8361
260	2948	8348
261	2959	8335
262	2970	8322
263	2980	8309
264	2991	8295
265	3001	8282
266	3012	8270
267	3023	8257
268	3033	8243
269	3044	8231
270	3055	8218
271	3066	8206
272	3076	8193
273	3087	8180
274	3097	8166
275	3108	8153
276	3118	8139
277	3129	8127
278	3139	8114
279	3150	8101
280	3161	8088
281	3171	8075
282	3184	8067
283	3194	8053
284	3205	8041
285	3215	8028
286	3226	8015
287	3236	8002
288	3247	7989
289	3258	7977
290	3269	7965
291	3279	7952
292	3290	7940
293	3301	7927
294	3311	7914
295	3322	7902
296	3333	7889
297	3343	7877
298	3354	7864
299	3365	7851
300	3375	7839
301	3386	7826
302	3396	7813
303	3407	7800
304	3417	7787
305	3428	7775
306	3439	7763
307	3449	7749
308	3460	7737
309	3470	7724
310	3481	7712
311	3491	7699
312	3502	7687
313	3512	7674
314	3528	7673
315	3540	7663
316	3551	7651
317	3562	7640
318	3575	7631
319	3585	7620
320	3596	7608
321	3608	7598
322	3619	7587
323	3631	7576
324	3641	7563
325	3653	7553
326	3664	7541
327	3675	7529
328	3687	7519
329	3698	7508
330	3708	7496
331	3720	7485
332	3731	7475
333	3742	7462
334	3753	7451
335	3766	7442
336	3780	7438
337	3793	7429
338	3806	7422
339	3818	7412
340	3830	7402
341	3842	7392
342	3854	7383
343	3867	7375
344	3882	7371
345	3893	7359
346	3904	7347
347	3916	7337
348	3927	7326
349	3938	7314
350	3950	7305
351	3968	7305
352	3980	7295
353	3992	7285
354	4002	7272
355	4016	7265
356	4027	7253
357	4038	7242
358	4049	7230
359	4060	7218
360	4071	7207
361	4082	7195
362	4093	7182
363	4103	7170
364	4114	7158
365	4125	7145
366	4135	7132
367	4145	7119
368	4156	7107
369	4166	7094
370	4176	7081
371	4187	7069
372	4197	7056
373	4208	7043
374	4218	7030
375	4228	7017
376	4239	7005
377	4249	6992
378	4259	6979
379	4270	6967
380	4280	6954
381	4290	6941
382	4302	6930
383	4312	6918
384	4323	6905
385	4333	6893
386	4344	6880
387	4354	6868
388	4368	6860
389	4378	6849
390	4389	6836
391	4399	6823
392	4410	6811
393	4420	6799
394	4430	6786
395	4441	6773
396	4451	6761
397	4461	6748
398	4472	6736
399	4482	6723
400	4492	6710
401	4503	6699
402	4513	6686
403	4525	6676
404	4536	6664
405	4547	6652
406	4558	6641
407	4569	6629
408	4579	6617
409	4590	6605
410	4600	6593
411	4613	6584
412	4624	6572
413	4634	6559
414	4645	6548
415	4655	6536
416	4666	6524
417	4677	6512
418	4687	6500
419	4698	6488
420	4709	6476
421	4720	6465
422	4730	6453
423	4741	6441
424	4752	6430
425	4766	6423
426	4778	6411
427	4789	6400
428	4800	6388
429	4810	6376
430	4821	6365
431	4832	6353
432	4842	6341
433	4853	6329
434	4864	6317
435	4874	6305
436	4885	6293
437	4895	6281
438	4906	6269
439	4916	6257
440	4927	6246
441	4938	6234
442	4948	6222
443	4959	6210
444	4969	6198
445	4980	6186
446	4991	6174
447	5001	6162
448	5012	6150
449	5023	6139
450	5033	6127
451	5044	6116
452	5055	6104
453	5066	6093
454	5076	6081
455	5087	6069
456	5098	6057
457	5108	6045
458	5119	6034
459	5130	6022
460	5140	6010
461	5153	6001
462	5164	5989
463	5174	5977
464	5184	5965
465	5195	5953
466	5206	5941
467	5216	5930
468	5227	5918
469	5238	5907
470	5249	5895
471	5259	5883
472	5269	5871
473	5280	5859
474	5291	5848
475	5302	5837
476	5313	5825
477	5323	5813
478	5334	5802
479	5345	5790
480	5355	5778
481	5366	5767
482	5376	5755
483	5387	5743
484	5398	5731
485	5408	5720
486	5419	5708
487	5429	5696
488	5440	5685
489	5451	5673
490	5462	5662
491	5473	5651
492	5483	5639
493	5494	5627
494	5504	5615
495	5515	5604
496	5525	5592
497	5536	5580
498	5547	5570
499	5559	5559
500	5569	5547
501	5580	5535
502	5590	5524
503	5601	5513
504	5612	5501
505	5623	5490
506	5633	5478
507	5644	5466
508	5655	5455
509	5665	5443
510	5676	5431
511	5687	5421
512	5698	5409
513	5709	5398
514	5719	5386
515	5730	5375
516	5743	5365
517	5753	5353
518	5764	5342
519	5774	5330
520	5784	5318
521	5794	5306
522	5805	5294
523	5815	5282
524	5826	5271
525	5836	5259
526	5846	5247
527	5857	5236
528	5868	5225
529	5879	5213
530	5889	5202
531	5900	5190
532	5910	5178
533	5920	5166
534	5931	5155
535	5941	5143
536	5953	5133
537	5964	5121
538	5974	5110
539	5985	5098
540	5995	5087
541	6006	5075
542	6017	5064
543	6028	5052
544	6039	5041
545	6051	5031
546	6063	5021
547	6075	5011
548	6087	5000
549	6098	4989
550	6108	4977
551	6119	4966
552	6129	4954
553	6140	4943
554	6150	4931
555	6161	4920
556	6171	4908
557	6182	4896
558	6192	4885
559	6202	4873
560	6213	4861
561	6223	4850
562	6233	4838
563	6244	4827
564	6254	4815
565	6264	4803
566	6274	4791
567	6285	4780
568	6295	4768
569	6305	4756
570	6317	4746
571	6327	4734
572	6337	4722
573	6349	4712
574	6360	4700
575	6370	4689
576	6381	4677
577	6391	4666
578	6401	4654
579	6412	4643
580	6422	4631
581	6433	4620
582	6443	4608
583	6453	4597
584	6464	4585
585	6474	4574
586	6485	4562
587	6495	4551
588	6505	4539
589	6524	4534
590	6536	4523
591	6546	4511
592	6556	4500
593	6567	4488
594	6578	4477
595	6588	4466
596	6599	4454
597	6609	4443
598	6619	4431
599	6630	4420
600	6640	4408
601	6650	4397
602	6660	4385
603	6672	4374
604	6682	4363
605	6694	4352
606	6708	4343
607	6721	4333
608	6732	4322
609	6743	4311
610	6754	4300
611	6765	4289
612	6775	4277
613	6786	4266
614	6796	4254
615	6807	4243
616	6817	4232
617	6828	4220
618	6838	4209
619	6849	4197
620	6859	4186
621	6870	4175
622	6881	4164
623	6891	4152
624	6901	4141
625	6912	4129
626	6922	4118
627	6933	4106
628	6943	4095
629	6954	4084
630	6964	4072
631	6974	4061
632	6985	4050
633	6995	4038
634	7006	4027
635	7016	4015
636	7026	4004
637	7037	3993
638	7048	3981
639	7058	3970
640	7068	3958
641	7078	3947
642	7089	3935
643	7099	3924
644	7110	3913
645	7120	3901
646	7130	3890
647	7143	3880
648	7154	3869
649	7164	3857
650	7175	3846
651	7185	3835
652	7195	3823
653	7206	3812
654	7216	3800
655	7226	3789
656	7236	3778
657	7246	3766
658	7257	3755
659	7267	3743
660	7278	3732
661	7288	3721
662	7299	3710
663	7309	3698
664	7319	3687
665	7329	3675
666	7340	3664
667	7350	3653
668	7360	3641
669	7370	3630
670	7381	3619
671	7391	3607
672	7402	3596
673	7412	3585
674	7423	3574
675	7433	3562
676	7444	3551
677	7454	3540
678	7464	3529
679	7475	3517
680	7485	3506
681	7496	3495
682	7506	3484
683	7516	3472
684	7527	3461
685	7539	3450
686	7549	3439
687	7559	3428
688	7570	3417
689	7580	3405
690	7590	3394
691	7601	3383
692	7612	3372
693	7622	3360
694	7632	3349
695	7642	3338
696	7653	3326
697	7663	3315
698	7674	3304
699	7686	3294
700	7699	3284
701	7711	3273
702	7723	3263
703	7734	3251
704	7744	3240
705	7755	3229
706	7765	3218
707	7775	3207
708	7786	3195
709	7796	3184
710	7806	3173
711	7817	3162
712	7828	3151
713	7838	3139
714	7849	3128
715	7860	3117
716	7871	3106
717	7881	3095
718	7892	3084
719	7902	3073
720	7913	3062
721	7923	3051
722	7934	3039
723	7946	3029
724	7957	3018
725	7968	3007
726	7978	2996
727	7989	2984
728	7999	2973
729	8010	2962
730	8020	2951
731	8031	2940
732	8041	2929
733	8052	2918
734	8062	2906
735	8073	2895
736	8083	2884
737	8094	2873
738	8105	2862
739	8115	2851
740	8126	2840
741	8136	2829
742	8147	2818
743	8158	2807
744	8169	2796
745	8180	2785
746	8190	2774
747	8201	2763
748	8212	2752
749	8222	2740
750	8233	2729
751	8243	2718
752	8254	2707
753	8264	2696
754	8276	2685
755	8286	2674
756	8297	2663
757	8308	2652
758	8318	2641
759	8329	2630
760	8342	2619
761	8352	2608
762	8363	2597
763	8374	2586
764	8384	2575
765	8395	2564
766	8405	2553
767	8416	2542
768	8426	2531
769	8437	2520
770	8448	2509
771	8458	2498
772	8469	2487
773	8480	2476
774	8490	2465
775	8501	2454
776	8511	2442
777	8522	2431
778	8533	2420
779	8543	2409
780	8554	2398
781	8565	2387
782	8575	2376
783	8585	2365
784	8596	2354
785	8607	2343
786	8617	2332
787	8628	2321
788	8635	2309
789	8646	2298
790	8656	2287
791	8669	2276
792	8681	2266
793	8692	2255
794	8703	2244
795	8713	2233
796	8724	2222
797	8736	2211
798	8746	2200
799	8756	2189
800	8767	2178
801	8777	2167
802	8788	2155
803	8798	2144
804	8809	2133
805	8819	2122
806	8830	2111
807	8841	2100
808	8851	2089
809	8862	2078
810	8873	2067
811	8884	2056
812	8894	2045
813	8905	2034
814	8915	2023
815	8925	2012
816	8936	2001
817	8946	1990
818	8957	1979
819	8968	1968
820	8979	1957
821	8989	1946
822	9000	1935
823	9011	1924
824	9021	1913
825	9032	1902
826	9042	1891
827	9053	1880
828	9063	1869
829	9074	1858
830	9084	1847
831	9095	1836
832	9105	1825
833	9116	1814
834	9127	1803
835	9138	1792
836	9149	1781
837	9160	1770
838	9170	1759
839	9181	1748
840	9192	1737
841	9202	1726
842	9213	1715
843	9223	1704
844	9234	1693
845	9244	1682
846	9255	1671
847	9265	1660
848	9276	1649
849	9287	1638
850	9297	1627
851	9308	1616
852	9318	1605
853	9329	1594
854	9339	1583
855	9350	1572
856	9360	1561
857	9371	1550
858	9381	1539
859	9392	1529
860	9403	1518
861	9413	1507
862	9424	1496
863	9434	1485
864	9445	1474
865	9456	1463
866	9466	1452
867	9476	1441
868	9488	1430
869	9498	1419
870	9508	1408
871	9519	1397
872	9531	1386
873	9541	1375
874	9552	1364
875	9562	1353
876	9573	1342
877	9583	1331
878	9593	1320
879	9604	1309
880	9614	1298
881	9625	1287
882	9635	1276
883	9647	1266
884	9659	1255
885	9672	1244
886	9683	1233
887	9693	1222
888	9704	1211
889	9714	1200
890	9724	1189
891	9735	1178
892	9745	1167
893	9756	1156
894	9766	1145
895	9777	1134
896	9787	1123
897	9798	1112
898	9808	1101
899	9819	1091
900	9829	1080
901	9840	1069
902	9850	1058
903	9860	1047
904	9871	1036
905	9881	1025
906	9892	1014
907	9902	1003
908	9912	992
909	9923	981
910	9935	970
911	9945	959
912	9956	948
913	9966	937
914	9977	926
915	9987	915
916	9998	904
917	10010	894
918	10021	883
919	10031	872
920	10041	861
921	10052	850
922	10063	839
923	10073	828
924	10086	817
925	10097	806
926	10108	795
927	10118	785
928	10129	774
929	10139	763
930	10149	752
931	10160	741
932	10171	730
933	10181	719
934	10191	708
935	10202	697
936	10212	686
937	10223	675
938	10234	664
939	10245	653
940	10255	643
941	10266	632
942	10276	621
943	10286	610
944	10297	599
945	10308	588
946	10318	577
947	10331	566
948	10342	555
949	10352	544
950	10362	533
951	10373	523
952	10383	512
953	10394	501
954	10404	490
955	10415	479
956	10425	468
957	10435	457
958	10446	446
959	10456	435
960	10468	424
961	10478	413
962	10489	403
963	10499	392
964	10509	381
965	10520	370
966	10531	359
967	10541	348
968	10552	337
969	10562	326
970	10573	315
971	10583	304
972	10594	293
973	10604	283
974	10615	272
975	10628	261
976	10640	250
977	10650	239
978	10661	228
979	10671	217
980	10682	206
981	10692	195
982	10703	185
983	10713	174
984	10725	163
985	10735	152
986	10746	141
987	10757	130
988	10767	119
989	10777	108
990	10788	97
991	10798	87
992	10809	76
993	10820	65
994	10830	54
995	10841	43
996	10851	32
997	10863	21
998	10873	10
999	10884	0
