iter	Logloss
0	0.6897676323
1	0.6859592351
2	0.6828140508
3	0.6799877424
4	0.6772315464
5	0.675214994
6	0.671544455
7	0.6684887242
8	0.6653034527
9	0.661648572
10	0.6581899415
11	0.654790021
12	0.6512076198
13	0.6479880636
14	0.6442047034
15	0.6412743215
16	0.6380035918
17	0.6341403892
18	0.6315280597
19	0.6284159871
20	0.625826649
21	0.6227544677
22	0.619477657
23	0.6162516334
24	0.6132227545
25	0.60977496
26	0.606430673
27	0.6035070651
28	0.6009967423
29	0.5981698128
30	0.5952805993
31	0.5924303632
32	0.5908158049
33	0.588401123
34	0.5858182222
35	0.5831441195
36	0.5798631314
37	0.576565811
38	0.5739443226
39	0.5715636133
40	0.5691136752
41	0.5662746046
42	0.5637747306
43	0.5612359888
44	0.5588585677
45	0.5561503738
46	0.5537854765
47	0.5515519682
48	0.5495939401
49	0.5470845134
50	0.5448688947
51	0.5419078537
52	0.5396724749
53	0.5369312729
54	0.5344405965
55	0.5320557554
56	0.5295835105
57	0.5276542585
58	0.5243727146
59	0.5221375125
60	0.5197911153
61	0.5169300063
62	0.5150305738
63	0.5127921749
64	0.5102665175
65	0.5076713177
66	0.5056455585
67	0.503729143
68	0.5018968291
69	0.4996787915
70	0.4976331136
71	0.4958651201
72	0.4938803616
73	0.4924348237
74	0.4905697276
75	0.4885213941
76	0.4865448947
77	0.4853541116
78	0.4832630944
79	0.4818827262
80	0.4802875693
81	0.4775105045
82	0.4756546238
83	0.4731448879
84	0.4710386822
85	0.4690369554
86	0.467109
87	0.4650381009
88	0.4634466862
89	0.461803195
90	0.459751104
91	0.4578954616
92	0.4553156835
93	0.4539078356
94	0.4518536498
95	0.4497488777
96	0.4475888515
97	0.4459191922
98	0.4437173731
99	0.4416307472
100	0.4402541647
101	0.4380577751
102	0.4365036256
103	0.4347765098
104	0.4333027795
105	0.4321060738
106	0.4297328691
107	0.4284719177
108	0.4262454452
109	0.4247344365
110	0.4226441931
111	0.4210416075
112	0.4189860357
113	0.4180677933
114	0.4165057295
115	0.4150974003
116	0.4136724437
117	0.4120131393
118	0.409863847
119	0.4083940287
120	0.4071904949
121	0.4057116041
122	0.4044779797
123	0.4028100014
124	0.4009285595
125	0.3993040558
126	0.3978931798
127	0.3962645466
128	0.395250457
129	0.3938325586
130	0.392503085
131	0.3908233233
132	0.3893717763
133	0.3881426357
134	0.3867508128
135	0.385184355
136	0.3838701065
137	0.3821819798
138	0.3808323815
139	0.3795047187
140	0.3777910281
141	0.3761088967
142	0.374954145
143	0.3737669184
144	0.372447731
145	0.3710217347
146	0.3694254853
147	0.3681042062
148	0.3670138121
149	0.3653910601
150	0.3638962092
151	0.3627412049
152	0.3610019616
153	0.3597815404
154	0.3583946966
155	0.3573261718
156	0.3560341764
157	0.3551144233
158	0.3539219131
159	0.3528362683
160	0.3518785863
161	0.3508829636
162	0.3500076326
163	0.3486375035
164	0.347827498
165	0.3463778393
166	0.3453980117
167	0.3441889798
168	0.3430275872
169	0.3422295055
170	0.3410234403
171	0.3399314268
172	0.3387188489
173	0.3374569828
174	0.3365515818
175	0.3357575507
176	0.3342248936
177	0.3328057953
178	0.3312590132
179	0.3302338945
180	0.3289494888
181	0.3275522777
182	0.3264700632
183	0.3255953795
184	0.324437155
185	0.323236999
186	0.3225119723
187	0.3213730161
188	0.3204575042
189	0.3192416903
190	0.3178888917
191	0.3168283688
192	0.3159352795
193	0.3145919951
194	0.3137872928
195	0.3128083181
196	0.3115769222
197	0.3104413745
198	0.3096836686
199	0.3084771334
200	0.3072961037
201	0.3061149127
202	0.3050221965
203	0.3040053944
204	0.3028739736
205	0.3019882905
206	0.3012228708
207	0.2998812595
208	0.2987003007
209	0.2977045452
210	0.2969891967
211	0.2958574817
212	0.294722472
213	0.2938815871
214	0.2926839216
215	0.2913945011
216	0.2903294325
217	0.2892465482
218	0.2883701434
219	0.2877179346
220	0.2869628558
221	0.2859057955
222	0.2851606672
223	0.2841131468
224	0.283369565
225	0.2827053077
226	0.2816286815
227	0.2806056654
228	0.2796295237
229	0.2785278333
230	0.2773330875
231	0.2761406705
232	0.2751829128
233	0.2744377349
234	0.2738198712
235	0.2730668139
236	0.2720345484
237	0.2710647087
238	0.2701386046
239	0.2693353801
240	0.2682053005
